ds,y
1990-1-26 12:0:0,212.06
1990-1-26 13:0:0,206.38
1990-1-26 14:0:0,203.47
1990-1-26 15:0:0,200.13
1990-1-26 16:0:0,198.99
1990-1-26 17:0:0,200.21
1990-1-26 18:0:0,204.23
1990-1-26 19:0:0,208.97
1990-1-26 20:0:0,211.17
1990-1-26 21:0:0,203.95
1990-1-26 22:0:0,193.27
1990-1-26 23:0:0,187.06
1990-1-27 0:0:0,184.98
1990-1-27 1:0:0,185.88
1990-1-27 2:0:0,186.59
1990-1-27 3:0:0,187.75
1990-1-27 4:0:0,189.93
1990-1-27 5:0:0,193.5
1990-1-27 6:0:0,197.06
1990-1-27 7:0:0,209.07
1990-1-27 8:0:0,202.55
1990-1-27 9:0:0,210.49
1990-1-27 10:0:0,218.51
1990-1-27 11:0:0,220.13
1990-1-27 12:0:0,214.03
1990-1-27 13:0:0,193.71
1990-1-27 14:0:0,183.31
1990-1-27 15:0:0,184.41
1990-1-27 16:0:0,183.84
1990-1-27 17:0:0,190.98
1990-1-27 18:0:0,196.35
1990-1-27 19:0:0,201.52
1990-1-27 20:0:0,196.02
1990-1-27 21:0:0,185.51
1990-1-27 22:0:0,184.2
1990-1-27 23:0:0,177.84
1990-1-28 0:0:0,165.69
1990-1-28 1:0:0,189.88
1990-1-28 2:0:0,173.04
1990-1-28 3:0:0,167.95
1990-1-28 4:0:0,166.5
1990-1-28 5:0:0,177.82
1990-1-28 6:0:0,182.62
1990-1-28 7:0:0,182.39
1990-1-28 8:0:0,183.29
1990-1-28 9:0:0,194.26
1990-1-28 10:0:0,200.74
1990-1-28 11:0:0,198.3
1990-1-28 12:0:0,214.23
1990-1-28 13:0:0,199.97
1990-1-28 14:0:0,190.65
1990-1-28 15:0:0,181.6
1990-1-28 16:0:0,187.83
1990-1-28 17:0:0,196.19
1990-1-28 18:0:0,196.02
1990-1-28 19:0:0,198.34
1990-1-28 20:0:0,201.46
1990-1-28 21:0:0,197.1
1990-1-28 22:0:0,194.85
1990-1-28 23:0:0,188.03
1990-1-29 0:0:0,181.95
1990-1-29 1:0:0,179.38
1990-1-29 2:0:0,179.24
1990-1-29 3:0:0,179.12
1990-1-29 4:0:0,189.23
1990-1-29 5:0:0,201.66
1990-1-29 6:0:0,215.54
1990-1-29 7:0:0,222.57
1990-1-29 8:0:0,229.17
1990-1-29 9:0:0,231.16
1990-1-29 10:0:0,215.58
1990-1-29 11:0:0,211.02
1990-1-29 12:0:0,197.37
1990-1-29 13:0:0,177.53
1990-1-29 14:0:0,177.98
1990-1-29 15:0:0,185.3
1990-1-29 16:0:0,195.07
1990-1-29 17:0:0,194.15
1990-1-29 18:0:0,199.6
1990-1-29 19:0:0,197.39
1990-1-29 20:0:0,196.47
1990-1-29 21:0:0,188.72
1990-1-29 22:0:0,181.97
1990-1-29 23:0:0,172.69
1990-1-29 0:0:0,165.45
1990-1-30 1:0:0,162.25
1990-1-30 2:0:0,163.21
1990-1-30 3:0:0,164.86
1990-1-30 4:0:0,169.07
1990-1-30 5:0:0,184.16
1990-1-30 6:0:0,208.25
1990-1-30 7:0:0,229.23
1990-1-30 8:0:0,227.76
1990-1-30 9:0:0,231.2
1990-1-30 10:0:0,223.61
1990-1-30 11:0:0,215.17
1990-1-30 12:0:0,213.5
1990-1-30 13:0:0,220.91
1990-1-30 14:0:0,214.84
1990-1-30 15:0:0,207.11
1990-1-30 16:0:0,196.02
1990-1-30 17:0:0,198.83
1990-1-30 18:0:0,199.1
1990-1-30 19:0:0,200.56
1990-1-30 20:0:0,188.99
1990-1-30 21:0:0,178.43
1990-1-30 22:0:0,173.24
1990-1-30 23:0:0,167.5
1990-1-31 0:0:0,162.58
1990-1-31 1:0:0,161.66
1990-1-31 2:0:0,157.67
1990-1-31 3:0:0,158.57
1990-1-31 4:0:0,161.44
1990-1-31 5:0:0,167.73
1990-1-31 6:0:0,179.52
1990-1-31 7:0:0,198.87
1990-1-31 8:0:0,219.5
1990-1-31 9:0:0,204.83
1990-1-31 10:0:0,196.39
1990-1-31 11:0:0,195.13
1990-1-31 12:0:0,192.04
1990-1-31 13:0:0,192.42
1990-1-31 14:0:0,190.71
1990-1-31 15:0:0,187.44
1990-1-31 16:0:0,180.5
